TV,Radio,Newspaper,Sales
112.4,8.4,75.8,8.4
285.2,13.9,2.5,17.5
219.6,8.9,2.2,16.9
179.6,4.4,32.4,11.8
46.8,6.0,48.9,5.0
46.8,23.0,77.0,9.7
17.4,10.3,68.3,7.6
259.9,18.2,44.6,19.7
180.3,25.2,27.4,16.8
212.4,34.5,99.7,17.6
6.2,2.0,42.6,1.8
291.0,40.0,45.1,25.1
249.7,31.4,16.4,18.9
63.7,4.1,79.5,7.1
54.5,43.7,69.4,13.7
55.0,46.0,22.1,12.3
91.3,3.1,8.2,8.7
157.4,13.8,68.0,16.5
129.6,40.3,65.5,14.0
87.4,37.4,27.3,13.5
183.6,9.2,95.1,14.3
41.8,10.5,15.1,6.9
87.6,18.5,43.2,12.3
109.9,24.2,94.4,13.1
136.8,30.9,42.0,14.8
235.6,18.4,63.9,19.2
59.9,23.1,39.8,8.6
154.3,37.4,27.4,14.2
177.7,1.8,98.4,11.5
13.9,12.6,40.9,2.7
182.3,35.7,89.4,20.4
51.2,44.8,23.0,9.5
19.5,25.6,21.3,6.9
284.7,26.6,3.1,20.0
289.7,5.4,65.2,19.2
242.5,22.4,36.9,19.4
91.4,26.6,86.4,12.9
29.3,12.1,47.3,5.5
205.3,13.5,96.8,15.6
132.0,18.9,18.6,12.5
36.6,1.0,86.9,5.4
148.6,16.1,77.7,15.6
10.3,10.6,77.1,6.3
272.8,16.4,84.5,20.6
77.6,6.0,76.1,9.4
198.8,44.5,62.6,20.7
93.5,29.7,13.1,11.6
156.0,34.0,3.3,13.0
164.0,39.5,92.1,17.5
55.5,24.9,61.7,8.4
290.9,4.3,79.7,18.1
232.5,26.9,48.2,19.2
281.8,29.3,11.7,22.6
268.4,37.3,12.5,21.1
179.4,21.6,68.6,15.7
276.6,6.4,43.0,20.6
26.5,14.2,20.1,6.6
58.8,18.2,49.2,12.5
13.6,32.3,6.4,8.5
97.6,28.5,58.2,9.2
116.6,17.8,26.9,12.4
81.4,49.3,79.8,14.4
248.6,30.3,31.0,21.3
107.0,11.9,45.5,11.2
84.3,5.1,1.2,7.6
162.8,7.6,7.2,10.3
42.3,12.3,39.2,6.7
240.7,8.0,48.0,15.2
22.4,9.3,60.0,5.0
296.1,14.3,29.2,20.7
231.7,8.7,69.5,18.8
59.6,44.8,86.0,12.8
1.7,4.0,78.0,2.6
244.6,26.2,4.0,19.1
212.1,20.5,48.1,18.3
218.7,49.1,10.5,19.0
231.4,5.6,24.2,15.3
22.2,19.9,98.7,7.5
107.5,48.5,14.2,13.2
34.8,43.3,49.9,11.4
258.9,40.9,61.8,21.3
187.0,12.9,70.2,15.2
99.3,8.5,56.0,8.2
19.1,33.4,1.0,7.3
